SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P1 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
0 3600 1 U1 P2 synthetic any any any
