SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
10 1 1 U1 P1 gwa-t1 C1 C4 C1
